"Reference","Value","Footprint","Datasheet","Qty","DNP"
"A1","Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","1",""
"C1","47uF - 100V","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","~","1",""
"C2,C3,C4,C5,C12,C13,C15","100nF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","7",""
"C6","33uH","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","1",""
"C7","47uF - 16V","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","~","1",""
"C8,C9,C10,C11,C14,C16","1uF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","6",""
"D1,D3,D4,D5,D6,D7","1N4004","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","6",""
"D2","1N5822","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf","1",""
"J1,J2","RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~","2",""
"J4","Conn_01x03_Socket","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","~","1",""
"J5","Conn_02x06_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","1",""
"J6","Conn_01x07_Socket","Connector_JST:JST_EH_B7B-EH-A_1x07_P2.50mm_Vertical","~","1",""
"Q1,Q2,Q3,Q4,Q5,Q6","TIP41","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=tip41.PDF","6",""
"R1,R2,R3,R4,R5,R11","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","6",""
"R6,R7,R8,R9,R10,R12","2.7","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~","6",""
"R13","10K","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical","~","1",""
"RV1,RV2,RV3,RV4,RV5,RV6","20","Potentiometer_THT:Potentiometer_Bourns_3296Z_Horizontal","~","6",""
"SW1","SW_DIP_x08","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/cd74hc238.pdf","1",""
"SW2","SW_Wuerth","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","https://www.we-online.com/components/products/datasheet/450301014042.pdf","1",""
"U1,U3,U4,U5,U6,U7","LM317_TO-220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf","6",""
"U2","LM2596T-5","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.ti.com/lit/ds/symlink/lm2596.pdf","1",""
"U8","SN75176AP","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/sn75176a.pdf","1",""
